sentence,aspect_category,polarity
"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",LAPTOP#DESIGN_FEATURES,positive
"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",LAPTOP#PORTABILITY,positive
Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,BATTERY#OPERATION_PERFORMANCE,positive
"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",LAPTOP#USABILITY,neutral
"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",LAPTOP#OPERATION_PERFORMANCE,positive
"I play a lot of casual games online, and the touchpad is very responsive.",MOUSE#OPERATION_PERFORMANCE,positive
"I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.",LAPTOP#PORTABILITY,positive
"I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.",LAPTOP#OPERATION_PERFORMANCE,positive
"I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.",LAPTOP#MISCELLANEOUS,positive
The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.,DISPLAY#DESIGN_FEATURES,negative
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,SOFTWARE#DESIGN_FEATURES,neutral
Everything from the design to the OS is simple and to the point.,LAPTOP#DESIGN_FEATURES,positive
Everything from the design to the OS is simple and to the point.,OS#USABILITY,positive
Everything from the design to the OS is simple and to the point.,LAPTOP#USABILITY,positive
LOVE IT LOVE IT LOVE IT!,LAPTOP#GENERAL,positive
It really is perfect for work and play.,LAPTOP#MISCELLANEOUS,positive
I am able to play 720p and 1080p media files just fine with it.,LAPTOP#MISCELLANEOUS,positive
Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.,LAPTOP#OPERATION_PERFORMANCE,positive
Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.,BATTERY#OPERATION_PERFORMANCE,positive
"The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that.",MULTIMEDIA_DEVICES#QUALITY,negative
"I upgraded it's RAM to 2GB, I am very happy with it.",LAPTOP#GENERAL,positive
"I upgraded it's RAM to 2GB, I am very happy with it.",MEMORY#DESIGN_FEATURES,neutral
lots of preloaded software.,LAPTOP#DESIGN_FEATURES,positive
"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.",MEMORY#DESIGN_FEATURES,negative
"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.",LAPTOP#OPERATION_PERFORMANCE,negative
"tosiba has a good reputation, my llast computer was an acer.",COMPANY#GENERAL,positive
this is starting off good.,LAPTOP#GENERAL,positive
What a great little laptop.,LAPTOP#GENERAL,positive
Maybe not the cutting edge (Satellite L455D) but it is a workhorse.,LAPTOP#DESIGN_FEATURES,neutral
Maybe not the cutting edge (Satellite L455D) but it is a workhorse.,LAPTOP#OPERATION_PERFORMANCE,positive
I bought it to use in college and it is perfect.,LAPTOP#MISCELLANEOUS,positive
I dual boot with Linux and that other security-prone OS and it performs flawlessly.,LAPTOP#OPERATION_PERFORMANCE,positive
I made a perfect decision when I bought the Toshiba!,LAPTOP#GENERAL,positive
I made a perfect decision when I bought the Toshiba!,COMPANY#GENERAL,positive
Excellent product for the money.,LAPTOP#GENERAL,positive
Excellent product for the money.,LAPTOP#PRICE,neutral
"No problems, no lock ups, no disappointments.",LAPTOP#OPERATION_PERFORMANCE,positive
"No problems, no lock ups, no disappointments.",LAPTOP#GENERAL,positive
"Not super fancy, but not super expensive either.",LAPTOP#DESIGN_FEATURES,neutral
"Not super fancy, but not super expensive either.",LAPTOP#PRICE,neutral
Highly recommend for daily use.,LAPTOP#MISCELLANEOUS,positive
The Computer itself is a good product but the repair depot stinks.,LAPTOP#GENERAL,positive
The Computer itself is a good product but the repair depot stinks.,SUPPORT#QUALITY,negative
I have had to send in my laptop three times to get it fixed.,SUPPORT#QUALITY,negative
Toshiba does not send any one out unless you have paid extra to have the on site repair done.,SUPPORT#QUALITY,negative
I would tell the technician I knew exactly what was wrong with it but they did not listen and I had to go through a bunch of junk to get them to tell me I needed to send the computer in.,SUPPORT#QUALITY,negative
This computer that I have has had issues with the keyboard where it lost half the keyboard functions.,KEYBOARD#QUALITY,negative
This computer that I have has had issues with the keyboard where it lost half the keyboard functions.,KEYBOARD#OPERATION_PERFORMANCE,negative
As well as having the plug in the computer come loose.,POWER_SUPPLY#QUALITY,negative
So having the AC plug go out on me and get lose or I could actually here it inside my computer on two of the three times is not good.,POWER_SUPPLY#QUALITY,negative
It still seems to be a little lose now but so far seems to be hanging in there.,POWER_SUPPLY#QUALITY,negative
The Mac Book Pro performs flawlessly.,LAPTOP#OPERATION_PERFORMANCE,positive
"Never had a single problem, and don't have to worry about viruses.",LAPTOP#GENERAL,positive
"Never had a single problem, and don't have to worry about viruses.",LAPTOP#QUALITY,positive
"While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.",LAPTOP#MISCELLANEOUS,positive
Worth the investment and truly a fine piece of equipment.,LAPTOP#GENERAL,positive
"Right out of the box, this little netbook did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously).",LAPTOP#GENERAL,positive
"Right out of the box, this little netbook did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously).",LAPTOP#MISCELLANEOUS,positive
"It even has a great webcam, and Skype works very well.",LAPTOP#DESIGN_FEATURES,positive
"It even has a great webcam, and Skype works very well.",MULTIMEDIA_DEVICES#GENERAL,positive
"It even has a great webcam, and Skype works very well.",SOFTWARE#OPERATION_PERFORMANCE,positive
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,LAPTOP#GENERAL,positive
"The Windows 7 Starter is, in my opinion, a great way to think about using your netbook: basics, basics, basics.",OS#GENERAL,neutral
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",OS#GENERAL,negative
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",LAPTOP#PRICE,positive
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",LAPTOP#OPERATION_PERFORMANCE,positive
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",LAPTOP#GENERAL,positive
"This netbook is a perfect supplementary computer to another laptop or desktop (my wife and I have another laptop), or if you are a user who uses the computer for simple tasks.",LAPTOP#MISCELLANEOUS,positive
"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).",LAPTOP#PORTABILITY,positive
"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).",BATTERY#OPERATION_PERFORMANCE,positive
"ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them.",LAPTOP#GENERAL,positive
"ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them.",COMPANY#GENERAL,positive
little short on RAM but you get what you pay for.,MEMORY#DESIGN_FEATURES,neutral
"the hinge design forced you to place various connections all around the computer, left right and front.",LAPTOP#DESIGN_FEATURES,negative
"the hinge design forced you to place various connections all around the computer, left right and front.",LAPTOP#USABILITY,negative
"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",PORTS#DESIGN_FEATURES,negative
"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",MOUSE#USABILITY,negative
"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",LAPTOP#DESIGN_FEATURES,negative
"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",LAPTOP#USABILITY,negative
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,LAPTOP#DESIGN_FEATURES,negative
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,LAPTOP#USABILITY,negative
"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",OS#GENERAL,positive
"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",LAPTOP#USABILITY,negative
"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",LAPTOP#DESIGN_FEATURES,negative
"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",COMPANY#GENERAL,negative
I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,LAPTOP#GENERAL,positive
I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,SUPPORT#QUALITY,negative
The computer was shipped to their repair depot  on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.,SHIPPING#QUALITY,positive
The computer was shipped to their repair depot  on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.,SUPPORT#QUALITY,negative
They were totally unconcerned that the computer was not correctly repaired in the first place.,SUPPORT#QUALITY,negative
The computer is currently in West Verginia doe to the method of shipping choosen by Toshiba.,SHIPPING#QUALITY,negative
The computer could have been shipped by Priority Mail through the USPS for the same cost and arrived by Noon on Tue.,SHIPPING#QUALITY,negative
Instead it is sitting in West Verginia waiting for UPS to take two days to send Me a box and Two days for them to ship the computer some 691 miles by air? to Louisville Ky.,SHIPPING#QUALITY,negative
And Toshiba is totally unconcerned.,SUPPORT#QUALITY,negative
The reaction of Toshiba is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.,SUPPORT#QUALITY,negative
We don't Mind and You don't Matter.,SUPPORT#QUALITY,negative
I would not recommend the purchase of this modle of Toshiba Computer or any Toshiba product for that matter.,LAPTOP#GENERAL,negative
I would not recommend the purchase of this modle of Toshiba Computer or any Toshiba product for that matter.,COMPANY#GENERAL,negative
When it come time for warranty service to Toshiba you don't matter.,SUPPORT#QUALITY,negative
Windows Vista makes this computer almost unusable for online service.,OS#GENERAL,negative
Windows Vista makes this computer almost unusable for online service.,LAPTOP#USABILITY,negative
I've tried going back to XL but there still problems.,LAPTOP#USABILITY,negative
The technical service for dell is so 3rd world it might as well not even bother.,SUPPORT#QUALITY,negative
Just a bunch of idiots who's English as a 5th language is forced at best.,SUPPORT#QUALITY,negative
I'm all for saving money but Dell needs to step it up.,COMPANY#GENERAL,negative
Good price.,LAPTOP#PRICE,positive
Basic computer.,LAPTOP#MISCELLANEOUS,neutral
Didn't work when shipped from Walmart.com but went into a store and exchanged for a working laptop (same make/model).,LAPTOP#MISCELLANEOUS,neutral
It has worked fine.,LAPTOP#OPERATION_PERFORMANCE,positive
Handles all my basic media needs easily.,LAPTOP#MISCELLANEOUS,positive
Can listen to my music and watch my videos with ease and with a great display.,DISPLAY#GENERAL,positive
Can listen to my music and watch my videos with ease and with a great display.,LAPTOP#USABILITY,positive
It is speedy when connected wirelessly to any network regardless if the connection is weak or not.,LAPTOP#OPERATION_PERFORMANCE,positive
It is speedy when connected wirelessly to any network regardless if the connection is weak or not.,LAPTOP#CONNECTIVITY,positive
It's a great prodcut to handle basic computing needs.,LAPTOP#MISCELLANEOUS,positive
It has served my needs quite nicely for the most part.,LAPTOP#GENERAL,positive
"The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.",MEMORY#DESIGN_FEATURES,positive
"The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.",LAPTOP#OPERATION_PERFORMANCE,positive
My one complaint with this laptop is that I've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in.,PORTS#QUALITY,negative
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",HARDWARE#QUALITY,negative
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",LAPTOP#PRICE,neutral
"Other than that, I would recommend this to someone in need of a cheap laptop with semi-decent gaming capabilities.",LAPTOP#PRICE,positive
"Other than that, I would recommend this to someone in need of a cheap laptop with semi-decent gaming capabilities.",LAPTOP#MISCELLANEOUS,neutral
Let me start with the good:So awesome.,LAPTOP#GENERAL,positive
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",OS#GENERAL,positive
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",CPU#OPERATION_PERFORMANCE,positive
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",LAPTOP#DESIGN_FEATURES,positive
This one has had the same effect.,LAPTOP#GENERAL,positive
"The improvements to the OS have been relatively gradual, but substantive.",OS#GENERAL,positive
"The Unibody construction is solid, sleek and beautiful.",LAPTOP#DESIGN_FEATURES,positive
"The Unibody construction is solid, sleek and beautiful.",LAPTOP#QUALITY,positive
"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",LAPTOP#DESIGN_FEATURES,positive
"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",LAPTOP#QUALITY,positive
"For the not so good, I got the stock screen - which is VERY glossy.",DISPLAY#QUALITY,negative
It's still beautiful and has better color reproduction than I could ever expect from a notebook.,DISPLAY#DESIGN_FEATURES,positive
It's still beautiful and has better color reproduction than I could ever expect from a notebook.,DISPLAY#QUALITY,positive
The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.,DISPLAY#QUALITY,neutral
The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.,DISPLAY#USABILITY,neutral
The statement of 7 hour battery life is not just mere exaggeration -- it's a lie.,BATTERY#OPERATION_PERFORMANCE,negative
I challenge anyone to show proof that through anywhere near normal use can get more than 2.5 hrs out of it.,BATTERY#OPERATION_PERFORMANCE,negative
The first full charge of this battery got me only about 2 full hours.,BATTERY#OPERATION_PERFORMANCE,negative
Enabling the battery timer is useless.,BATTERY#OPERATION_PERFORMANCE,negative
"The ""Time remaining"" goes from 4 hours plus to less than 2 hours over the span of about 10 minutes.",BATTERY#OPERATION_PERFORMANCE,negative
It's so bad that I'm thinking I only got half a battery or something.,BATTERY#OPERATION_PERFORMANCE,negative
I know what 7 hrs of battery looks like.,BATTERY#OPERATION_PERFORMANCE,negative
My only other complaint is that it gets really hot.:-),LAPTOP#QUALITY,negative
"If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.",BATTERY#OPERATION_PERFORMANCE,negative
"If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.",LAPTOP#GENERAL,positive
"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",LAPTOP#GENERAL,positive
"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",CPU#MISCELLANEOUS,neutral
"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",LAPTOP#DESIGN_FEATURES,negative
"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",LAPTOP#USABILITY,negative
Other than that its a great performing machine and well meets all my needs and more.,LAPTOP#OPERATION_PERFORMANCE,positive
Other than that its a great performing machine and well meets all my needs and more.,LAPTOP#GENERAL,positive
Great product by Apple with the new great looking design.,LAPTOP#GENERAL,positive
Great product by Apple with the new great looking design.,LAPTOP#DESIGN_FEATURES,positive
Great product by Apple with the new great looking design.,COMPANY#GENERAL,positive
"I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another ""HP/Compaq"" piece of crap.",HARD_DISC#QUALITY,negative
"I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another ""HP/Compaq"" piece of crap.",MOTHERBOARD#QUALITY,negative
"I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another ""HP/Compaq"" piece of crap.",OPTICAL_DRIVES#QUALITY,negative
"I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another ""HP/Compaq"" piece of crap.",SUPPORT#QUALITY,negative
"I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another ""HP/Compaq"" piece of crap.",LAPTOP#QUALITY,negative
"It was slow, locked up, and also had hardware replaced after only 2 months!",LAPTOP#OPERATION_PERFORMANCE,negative
"It was slow, locked up, and also had hardware replaced after only 2 months!",HARDWARE#QUALITY,negative
"So, buyers beware!",LAPTOP#GENERAL,negative
"It is made better, thicker, and all out tough!",LAPTOP#QUALITY,positive
"It is made better, thicker, and all out tough!",LAPTOP#DESIGN_FEATURES,positive
I droped this once from thetable when my baby girl grabed me one day and IT is still working with NO issues!,LAPTOP#QUALITY,positive
"I love the easy to see screen, and It works well for work, persoal or just play.",DISPLAY#USABILITY,positive
"I love the easy to see screen, and It works well for work, persoal or just play.",LAPTOP#MISCELLANEOUS,positive
I tell everyone I see out looking to get this or another Toshiba.,LAPTOP#GENERAL,positive
I tell everyone I see out looking to get this or another Toshiba.,COMPANY#GENERAL,positive
My friends or children use that when they need to borrow the Net =) When I out grow this Meaning when its old and my oldest child is ready for one she will get this one ANd I will be buying only TOSHIBA!,COMPANY#GENERAL,positive
"I just love this lap top, I just wish it were all silver or they had all black.",LAPTOP#GENERAL,positive
"I just love this lap top, I just wish it were all silver or they had all black.",LAPTOP#DESIGN_FEATURES,neutral
That is my only complaint!,LAPTOP#DESIGN_FEATURES,negative
LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!,LAPTOP#GENERAL,positive
LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!,LAPTOP#PRICE,positive
WOULD PAY MORE FOR IT IF I HAD TOO!,LAPTOP#GENERAL,positive
WOULD PAY MORE FOR IT IF I HAD TOO!,LAPTOP#PRICE,positive
I recently purchased the mini and absolutely love it!,LAPTOP#GENERAL,positive
It meets all my needs for work and pleasure while traveling.,LAPTOP#MISCELLANEOUS,positive
It meets all my needs for work and pleasure while traveling.,LAPTOP#PORTABILITY,positive
I am totally satisfied with my little toshie!,LAPTOP#GENERAL,positive
From the moment I opened the box to the present it has been a great joy.,LAPTOP#GENERAL,positive
"It is always reliable, never bugged and responds well.",LAPTOP#QUALITY,positive
"It is always reliable, never bugged and responds well.",LAPTOP#OPERATION_PERFORMANCE,positive
I love the operating system and the preloaded software.,OS#GENERAL,positive
I love the operating system and the preloaded software.,SOFTWARE#GENERAL,positive
This machine delivers.,LAPTOP#OPERATION_PERFORMANCE,positive
It is also extremely pleasing to the eyes without looking too much like an Alienware gaming machine.,LAPTOP#DESIGN_FEATURES,positive
It is a bit heavy.,LAPTOP#DESIGN_FEATURES,negative
It would be a load on long trips where a lot of walking is required.,LAPTOP#PORTABILITY,negative
Had some trouble finding a case that it would fit in.,LAPTOP#DESIGN_FEATURES,negative
"This is an over-sized, 18-inch laptop.",LAPTOP#DESIGN_FEATURES,negative
It wouldn't fit in most 17-inch bags.,LAPTOP#DESIGN_FEATURES,negative
I was disappointed when I realized that the keyboard doesn't light up on this model.,KEYBOARD#DESIGN_FEATURES,negative
It also does not have bluetooth.,LAPTOP#DESIGN_FEATURES,negative
You'll need to upgrade and pay a little more for them.,LAPTOP#DESIGN_FEATURES,negative
"I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard.",LAPTOP#DESIGN_FEATURES,negative
"Overall, still a very nice machine.",LAPTOP#GENERAL,positive
Boots up fast and runs great!,LAPTOP#OPERATION_PERFORMANCE,positive
I'm pleased.,LAPTOP#GENERAL,positive
The acer one compuer is a great computer.,LAPTOP#GENERAL,positive
I didn't want to buy a generic brand computer but it is really nice.,LAPTOP#GENERAL,positive
I didn't want to buy a generic brand computer but it is really nice.,COMPANY#GENERAL,neutral
"Its fast, has High definition quality in the videos.",LAPTOP#OPERATION_PERFORMANCE,positive
"Its fast, has High definition quality in the videos.",DISPLAY#QUALITY,positive
The pictures are clear as can be.,DISPLAY#QUALITY,positive
"If I had to buy another computer, I would most definetly buy an acer one computer.",LAPTOP#GENERAL,positive
"If I had to buy another computer, I would most definetly buy an acer one computer.",COMPANY#GENERAL,positive
"Heck, if I had enough ' money, I would but it as a gift for someone.",LAPTOP#GENERAL,positive
Im glad that it has such great features in it.,LAPTOP#DESIGN_FEATURES,positive
It also came with a built it web cam which is great because I can see an communicate with my family members back home.,LAPTOP#DESIGN_FEATURES,positive
Clear picture on it and everything.,MULTIMEDIA_DEVICES#QUALITY,positive
"The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.",LAPTOP#OPERATION_PERFORMANCE,negative
"The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.",LAPTOP#GENERAL,positive
"The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it.",DISPLAY#DESIGN_FEATURES,positive
"The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it.",LAPTOP#PORTABILITY,negative
Its good for playing my apps on Facebook or watching movies.,LAPTOP#MISCELLANEOUS,positive
Im very happy with this computer!,LAPTOP#GENERAL,positive
It's solid.,LAPTOP#QUALITY,positive
Love the stability of the Mac software and operating system.,SOFTWARE#OPERATION_PERFORMANCE,positive
Love the stability of the Mac software and operating system.,OS#OPERATION_PERFORMANCE,positive
The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,SOFTWARE#USABILITY,negative
The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,SOFTWARE#GENERAL,negative
The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,SOFTWARE#PRICE,negative
It seems to be incompatible with everything else.,SOFTWARE#USABILITY,negative
But the machine is awesome and iLife is great and I love Snow Leopard X.,LAPTOP#GENERAL,positive
But the machine is awesome and iLife is great and I love Snow Leopard X.,SOFTWARE#GENERAL,positive
But the machine is awesome and iLife is great and I love Snow Leopard X.,OS#GENERAL,positive
i love to use it it is esay and light.,LAPTOP#GENERAL,positive
i love to use it it is esay and light.,LAPTOP#USABILITY,positive
i love to use it it is esay and light.,LAPTOP#DESIGN_FEATURES,positive
this laptop is durable and it is easy to travel with.,LAPTOP#QUALITY,positive
this laptop is durable and it is easy to travel with.,LAPTOP#PORTABILITY,positive
i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.,LAPTOP#PORTABILITY,positive
this laptop is great for work and doing my pictures.,LAPTOP#MISCELLANEOUS,positive
"i am a huge computer person i love anykind of computer that works well, but when i got this one i was so happy with the way it works and how it runs its amazing.",LAPTOP#OPERATION_PERFORMANCE,positive
the programs are esay to use and are quick to process this computer works like a charm.,SOFTWARE#USABILITY,positive
the programs are esay to use and are quick to process this computer works like a charm.,SOFTWARE#OPERATION_PERFORMANCE,positive
the programs are esay to use and are quick to process this computer works like a charm.,LAPTOP#OPERATION_PERFORMANCE,positive
i can use it for all of my needs.,LAPTOP#GENERAL,positive
i give this laptop a five star review i love it and it has done chams for me.,LAPTOP#GENERAL,positive
if this computer every breaks down on me i will most definatly get the same one again.,LAPTOP#GENERAL,positive
i think that anyone looking for a good durrable laptop then this is the way to go.,LAPTOP#QUALITY,positive
i think that anyone looking for a good durrable laptop then this is the way to go.,LAPTOP#GENERAL,positive
From the second you open the box you will fall in love with this computer!,LAPTOP#GENERAL,positive
The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.,OS#OPERATION_PERFORMANCE,positive
The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.,OS#QUALITY,positive
"The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!",MOUSE#DESIGN_FEATURES,positive
"The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!",MOUSE#USABILITY,positive
"The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!",COMPANY#GENERAL,positive
"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",OS#USABILITY,positive
Apple continues to shine and provide a much more enjoyable computer experience!,COMPANY#GENERAL,positive
Apple continues to shine and provide a much more enjoyable computer experience!,LAPTOP#GENERAL,positive
"From the start, when you open the box you see a completely different class of machine.",LAPTOP#GENERAL,positive
The ease in which you set everything up is such that a child could do it.,LAPTOP#USABILITY,positive
"The screen is bright and clear, the operating system is solid and friendly to a novice.",DISPLAY#QUALITY,positive
"The screen is bright and clear, the operating system is solid and friendly to a novice.",OS#QUALITY,positive
"The screen is bright and clear, the operating system is solid and friendly to a novice.",OS#USABILITY,positive
"Fast, fast and fast, the web pages just fly by.",LAPTOP#OPERATION_PERFORMANCE,positive
"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",LAPTOP#USABILITY,positive
"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",LAPTOP#CONNECTIVITY,positive
"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",LAPTOP#OPERATION_PERFORMANCE,positive
That includes transferring my music and movies.,LAPTOP#USABILITY,positive
Good bye BLUE SCREEN and Critical errors!!!!,LAPTOP#OPERATION_PERFORMANCE,positive
Skype is just so dang cool with this machine too.,SOFTWARE#GENERAL,positive
"If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.",LAPTOP#USABILITY,positive
"If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.",LAPTOP#OPERATION_PERFORMANCE,positive
It is light and the battery last a very long time.,LAPTOP#DESIGN_FEATURES,positive
It is light and the battery last a very long time.,BATTERY#OPERATION_PERFORMANCE,positive
Very fast boot up and shut down.,LAPTOP#OPERATION_PERFORMANCE,positive
"Let me tell you, this machine is great.",LAPTOP#GENERAL,positive
"Purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc.",LAPTOP#MISCELLANEOUS,positive
"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",OS#USABILITY,positive
