sentence,aspect_term,begin,end,polarity
"I went to this clinic to be assisted with a pain that had been torturing me for days, incredible treatment to patients by the health staff, super efficient, friendly and very caring with patients, very affordable prices.",health staff,126,138,positive
"I went to this establishment because it was the most convenient but the treatment they gave me was terrible, my car was not clean and with an unpleasant smell, I do not recommend this place to anyone!",smell,153,158,negative
"I went to this establishment because it was the most convenient but the treatment they gave me was terrible, my car was not clean and with an unpleasant smell, I do not recommend this place to anyone!",treatment,72,81,negative
"I went to this establishment because it was the most convenient but the treatment they gave me was terrible, my car was not clean and with an unpleasant smell, I do not recommend this place to anyone!",car,112,115,negative
"I went to this establishment because it was the most convenient but the treatment they gave me was terrible, my car was not clean and with an unpleasant smell, I do not recommend this place to anyone!",this place,179,189,negative
"I went with my friends to the cinema to see a new film, they said it was good, I regret having gone, the film had no suspense, no horror, I wouldn't recommend it to anyone.",film,105,109,negative
I will definitely be visiting this place again.,place,35,40,positive
I will recommend it to all people That I Know and donÂ´t taste yet like me until that day.,it,17,19,positive
"I wish to have a new phone, but my old phone its still good, but when I SEE NEW PHONES, thereÂ´s not enought to change mine, because they have things that another one doesn{t have.",NEW PHONES,76,86,negative
"I wish to have a new phone, but my old phone its still good, but when I SEE NEW PHONES, thereÂ´s not enought to change mine, because they have things that another one doesn{t have.",my old phone,32,44,positive
I would advise to stay well away from this product.,product,43,50,negative
I would highly recommend it.,it,25,27,positive
I would highly recommended it.,it,27,29,positive
"I would like to see financial educations in mid and high school, thath might be very helpful",financial educations,20,40,positive
I'm very happy.,I,0,1,positive
I've really enjoyed my stay.,my stay.,20,28,positive
If what you are looking for is a good book and also people who treat you well when selling it to you.,people,52,58,positive
If what you are looking for is a good book and also people who treat you well when selling it to you.,book,38,42,positive
If you are in a hurry this is a good place.,place,37,42,positive
"If you want to feel safe without having your own vehicle, I recommend it.",it,70,72,positive
In just three months I have seen remarkable results.,results,44,51,positive
"In spite of everything, I think it was a good purchase, considering the price I paid for it.",purchase,46,54,positive
In terms of gameplay functionality it can seemingly play anything to a high standard.,gameplay functionality,12,34,positive
"In the long term, investments carry fewer risks, although in the short term they carry more benefits",investments,18,29,positive
Issues with it's delivery service and timings yet still easy to contact and sort out any problems that I have.,to contact,61,71,positive
It comes with great camera and 6gb ram and a powerful processor.,processor,54,63,positive
It comes with great camera and 6gb ram and a powerful processor.,It,0,2,positive
It comes with great camera and 6gb ram and a powerful processor.,camera,20,26,positive
It does not have a good reception.,reception,24,33,negative
It does not recognize many of today's phones and the loading time is very long,loading time,53,65,negative
"It fulfills the objective of applying a good daily administrative method from our thinking, in knowing how to control and avoid losses and control the anxiety and at the same time gradually increase income under statistical measures of entry and exit flow.",It,0,2,positive
"It fulfills the objective of applying a good daily administrative method from our thinking, in knowing how to control and avoid losses and control the anxiety and at the same time gradually increase income under statistical measures of entry and exit flow.",administrative method,51,72,positive
"It goes straight to the point, kind, it takes you to see your life in a clearer and different perspective, it awakens you what you really need to realize in the problem.",It,0,2,positive
It had a beautiful shape.,shape,19,24,positive
It has a beautiful shape and color.,It,0,2,positive
It has a beautiful shape and color.,shape and color,19,34,positive
It has a function that improves image quality in dark scenes.,function,9,17,positive
"It has a good camera, if you don't have a lot of budget this is a good choice.",camera,14,20,positive
"It has a good camera, if you don't have a lot of budget this is a good choice.",choice,71,77,positive
It has a high processing speed.,processing speed,14,30,positive
It has a high processing speed.,It,0,2,positive
It has a lot of information.,information,16,27,positive
It has a very beautiful appearance.,appearance,24,34,positive
It has adjustable RGB and a lot of shortcuts to make your work easier.,It,0,2,positive
It has adjustable RGB and a lot of shortcuts to make your work easier.,adjustable RGB,7,21,positive
It has adjustable RGB and a lot of shortcuts to make your work easier.,lot of shortcuts,28,44,positive
"It has an exceptionally simple to understand and easy to use system, the Android OS is reliable and never causes me any issues.",system,61,67,positive
"It has an exceptionally simple to understand and easy to use system, the Android OS is reliable and never causes me any issues.",Android OS,73,83,positive
"It has been the best I have bought lately, the full hard battery, and it is super fast and ultra thin",battery,57,64,positive
"It has been the best I have bought lately, the full hard battery, and it is super fast and ultra thin",thin,97,101,positive
It has many branches in the city which is very good and the customer service is excellent.,customer service,60,76,positive
It has many branches in the city which is very good and the customer service is excellent.,branches in the city,12,32,positive
It has really impressed me a lot over the previous model.,It,0,2,positive
It has the best color in the picture.,best color,11,21,positive
It has tremendous ease of access and really does a good job of housing all the resources that I need.,ease of access,18,32,positive
It has tremendous ease of access and really does a good job of housing all the resources that I need.,job,56,59,positive
It has tremendous ease of access and really does a good job of housing all the resources that I need.,housing all the resources,63,88,positive
It is a genre that helps to relax and de-stress,genre,8,13,positive
It is a very fun task between father and son that strengthens the bonds,task,17,21,positive
It is cheap to sell.,sell,15,19,positive
It is difficult to find a good pediatrician  ....,to find a good pediatrician,16,43,negative
It is expensive.,It,0,2,negative
"It is good because it helps us take care of the coronavirus, but it is uncomfortable and repellent",it,65,67,negative
"It is good because it helps us take care of the coronavirus, but it is uncomfortable and repellent",It,0,2,positive
It is located in downtown and you can feel safe there because clinic is very clean .,there,48,53,positive
It is located in downtown and you can feel safe there because clinic is very clean .,clinic,62,68,positive
It is more like a boring novel than a comedy story.,novel,25,30,negative
It is more like a boring novel than a comedy story.,It,0,2,negative
It is not worth buying.,It,0,2,negative
It is not worth dedicating more lines to this product.,this product,41,53,negative
It is simply awesome.,It,0,2,positive
"It is the largest hamburger chain in the world, but its service has declined lately, long lines, synthetic meat and always the same hamburgers, it must improve
Stars: 2",meat,107,111,negative
"It is the largest hamburger chain in the world, but its service has declined lately, long lines, synthetic meat and always the same hamburgers, it must improve
Stars: 2",lines,90,95,negative
"It is the largest hamburger chain in the world, but its service has declined lately, long lines, synthetic meat and always the same hamburgers, it must improve
Stars: 2",hamburgers,132,142,negative
"It is the largest hamburger chain in the world, but its service has declined lately, long lines, synthetic meat and always the same hamburgers, it must improve
Stars: 2",service,56,63,negative
It is very great.,It,0,2,positive
It is very incomprehensible.,It,0,2,negative
It loaded very quickly and the games were quick to install.,games,31,36,positive
It loaded very quickly and the games were quick to install.,loaded,3,9,positive
It measures the pulse rate and blood pressure in a fast and very simple way.,It,0,2,positive
It measures the pulse rate and blood pressure in a fast and very simple way.,way,72,75,positive
It was delicious and i would 100% recommend it to anyone who likes their curries.,It,0,2,positive
It was delicious and i would 100% recommend it to anyone who likes their curries.,it,44,46,positive
It was horrible!,It,0,2,negative
It was the worse time we have ever had at Chili's.,Chili's,42,49,negative
It was the worse time we have ever had at Chili's.,time,17,21,negative
It wore out very quickly.I recommend you do not buy this brand.,brand,57,62,negative
It's a good value for money.,value for money,12,27,positive
It's a service that I have come to rely on in the current pandemic climate.,service,7,14,positive
It's just what my son needed.,It,0,2,positive
It's the easiest way to pay for goods from general marketplace sites but also auction ones.,It,0,2,positive
It's the easiest way to pay for goods from general marketplace sites but also auction ones.,way to pay,17,27,positive
Its shape is fancy.,shape,4,9,positive
Its subject is scary.,Its subject,0,11,negative
Last week went to a bookstore is call it anonymous and has a great collection of mystery books that I like so much.,bookstore,20,29,positive
Last week went to a bookstore is call it anonymous and has a great collection of mystery books that I like so much.,collection of mystery books,67,94,positive
Like more ram but less internal memory.,memory,32,38,negative
Like more ram but less internal memory.,ram,10,13,positive
Long waiting time.,waiting time,5,17,negative
"Lousy service, the reservation I made 2 days before was not validated, I had to queue to buy the ticket, and I was late for my meeting.",reservation,19,30,negative
"Lousy service, the reservation I made 2 days before was not validated, I had to queue to buy the ticket, and I was late for my meeting.",service,6,13,negative
Love the selection and the service was awesome!,selection,9,18,positive
Love the selection and the service was awesome!,service,27,34,positive
My best buy,buy,8,11,positive
"My computer is one of the most advanced, it has very good features and allows me to do higher quality work",features,58,66,positive
"My computer is one of the most advanced, it has very good features and allows me to do higher quality work",computer,3,11,positive
"My computer is one of the most advanced, it has very good features and allows me to do higher quality work",work,102,106,positive
"My computer is working perfectly, everything is fine, I navigate faster and enter each of the pages more quickly, excellent",everything,34,44,positive
"My computer is working perfectly, everything is fine, I navigate faster and enter each of the pages more quickly, excellent",enter,76,81,positive
"My computer is working perfectly, everything is fine, I navigate faster and enter each of the pages more quickly, excellent",navigate,56,64,positive
"My computer is working perfectly, everything is fine, I navigate faster and enter each of the pages more quickly, excellent",My computer,0,11,positive
My experience was great.,My experience,0,13,positive
My eyes began to hurt me strongly because i usually set behind the computer for more than 12 hour a day.,eyes,3,7,negative
My face style has become attractive by wearing these sunglasses.,face style,3,13,positive
My face style has become attractive by wearing these sunglasses.,sunglasses,53,63,positive
My father enjoyed them and was very happy with them.,them,47,51,positive
My father enjoyed them and was very happy with them.,them,18,22,positive
My father's  birthday was a week ago and i wanted to bring him something to eat but no cakes.,cakes,87,92,negative
My kids used to make disgusting thins so I visited the doctor and he gave me some advises and everything goes fine since then.,thins,32,37,negative
My kids used to make disgusting thins so I visited the doctor and he gave me some advises and everything goes fine since then.,everything,94,104,positive
My kids used to make disgusting thins so I visited the doctor and he gave me some advises and everything goes fine since then.,doctor,55,61,positive
My new console arrived today via the delivery man.,new console,3,14,positive
"My smartphone does not work as it should, when I go to enter an app it does not leave me or it gets into another that I have not selected",smartphone,3,13,negative
"My smartphone does not work as it should, when I go to enter an app it does not leave me or it gets into another that I have not selected",My,0,2,negative
Navigation through the menu is very simple and easy to use.,Navigation through the menu,0,27,positive
Needed to purchase some gifts and their range and easy to search website made it a breeze.,range,40,45,positive
Needed to purchase some gifts and their range and easy to search website made it a breeze.,website,65,72,positive
Never buy such a brand.,brand,17,22,negative
Never had any kind of connection or reliability issues when using it.,it,66,68,positive
Nice phone that features smoothness and a nice camera except that the only drawback is the battery,features,16,24,positive
Nice phone that features smoothness and a nice camera except that the only drawback is the battery,battery,91,98,negative
Nice phone that features smoothness and a nice camera except that the only drawback is the battery,camera,47,53,positive
"Nice place with a good location and the food is very delicious, they have a very responsible staff.",staff,93,98,positive
"Nice place with a good location and the food is very delicious, they have a very responsible staff.",place,5,10,positive
"Nice place with a good location and the food is very delicious, they have a very responsible staff.",location,23,31,positive
"Nice place with a good location and the food is very delicious, they have a very responsible staff.",food,40,44,positive
Now he is talking a lot more because he has raised his self-esteem.,self-esteem,55,66,positive
One worker at the store was so friendly he even put it into my car for me.,One worker at the store,0,23,positive
Only the cover of the book is beautiful.,cover of the book,9,26,positive
Only the view was not what we had reserved.,the view,5,13,negative
Our decorist and designer had beautiful design ideas ad was prompt to act on any preferences I suggested.,decorist and designer,4,25,positive
Our decorist and designer had beautiful design ideas ad was prompt to act on any preferences I suggested.,design ideas,40,52,positive
"Positive side: It is light, the screen has good definition.",screen,32,38,positive
"Positive side: It is light, the screen has good definition.",It,15,17,positive
Pretty good and very well made!,made,26,30,positive
"Pretty good, howeer, it smells pretty bad and the dorctors are not that good",dorctors,50,58,negative
"Pretty good, howeer, it smells pretty bad and the dorctors are not that good",smells,24,30,negative
Probably the most secure online payment service that offers tremendous checks and balances to remain that way.,checks and balances,71,90,positive
Probably the most secure online payment service that offers tremendous checks and balances to remain that way.,online payment service,25,47,positive
"Restaurant with a very good reputation, the pizzas, I could say they are the best, I recommend them 100%",reputation,28,38,positive
"Restaurant with a very good reputation, the pizzas, I could say they are the best, I recommend them 100%",the pizzas,40,50,positive
"Restaurant with a very good reputation, the pizzas, I could say they are the best, I recommend them 100%",Restaurant,0,10,positive
She cleans everything!,She,0,3,positive
Simple verification checks make it trusted but also easy to navigate.,it,32,34,positive
Simple verification checks make it trusted but also easy to navigate.,Simple verification checks,0,26,positive
Simple verification checks make it trusted but also easy to navigate.,to navigate,57,68,positive
"Slow service, unresponsive.",service,5,12,negative
"So I order some macaron with cheese with spaghetti, and I was trill about it.",macaron with cheese with spaghetti,16,50,positive
So even though the advisor doesnÂ´t have the best customer service.,advisor,19,26,negative
So even though the advisor doesnÂ´t have the best customer service.,customer service,49,65,negative
Sometimes that back and home buttons don't seem to get you out of every app but that is a small gripe.,back and home buttons,15,36,negative
Spacious rooms and cleaning staff did a great job.,rooms,9,14,positive
Spacious rooms and cleaning staff did a great job.,cleaning staff,19,33,positive
Spacious rooms and cleaning staff did a great job.,job,46,49,positive
Suddenly the value of its shares fell.,value of its shares,13,32,negative
Super fast and stable.,fast,6,10,positive
TV colors are natural and comfortable for eyes ... also TV provide with eye-care  feature .,TV colors,0,9,positive
TV colors are natural and comfortable for eyes ... also TV provide with eye-care  feature .,TV,56,58,positive
"TV streaming service with excellent series, films and documentaries.","series, films and documentaries.",36,68,positive
"TV streaming service with excellent series, films and documentaries.",TV streaming service,0,20,positive
Terrible service I made my reservation 1 month in advance and had to re-register,service,9,16,negative
"The Fiat Premio has a fairly effective level of fuel consumption, but is not usually such a good friend of long trips",long trips,107,117,negative
"The Netflix stream service has a great price per month, and good quality of movies, but the variety for shows and movie are limited.",quality of movies,65,82,positive
"The Netflix stream service has a great price per month, and good quality of movies, but the variety for shows and movie are limited.",price,39,44,positive
"The Netflix stream service has a great price per month, and good quality of movies, but the variety for shows and movie are limited.",variety for shows and movie,92,119,negative
The air staff were really helpful and friendly.,air staff,4,13,positive
"The airline was terrible, the service was very bad, plus one receptionist was rude to me.",service,30,37,negative
"The airline was terrible, the service was very bad, plus one receptionist was rude to me.",airline,4,11,negative
"The airline was terrible, the service was very bad, plus one receptionist was rude to me.",receptionist,61,73,negative
The android phone is fast and has fair storage and is sold for good price,android phone,4,17,positive
The android phone is fast and has fair storage and is sold for good price,storage,39,46,positive
The android phone is fast and has fair storage and is sold for good price,price,68,73,positive
The architects are in charge of making the correct and most suitable distributions of the houses and any other structures.,architects,4,14,positive
"The atmosphere was very nice, a place if you want to impress your friends.",place,32,37,positive
"The atmosphere was very nice, a place if you want to impress your friends.",atmosphere,4,14,positive
"The baseball camp was clean and ready to use, however the tennis section is lacking, the net is broken, the bathrooms were clean, overall good facilities, i like them.",net,89,92,negative
"The baseball camp was clean and ready to use, however the tennis section is lacking, the net is broken, the bathrooms were clean, overall good facilities, i like them.",the tennis section,54,72,negative
"The baseball camp was clean and ready to use, however the tennis section is lacking, the net is broken, the bathrooms were clean, overall good facilities, i like them.",The baseball camp,0,17,positive
"The baseball camp was clean and ready to use, however the tennis section is lacking, the net is broken, the bathrooms were clean, overall good facilities, i like them.",bathrooms,108,117,positive
The bathrooms were very clean and tidy.,bathrooms,4,13,positive
"The battery life is great, can last up to 8 hours of full use, the software was up to date, i like the webcam resolution (8mp) and the sound is okay, not the best not the worst, the price was good, i'm in love with this product.",product,220,227,positive
"The battery life is great, can last up to 8 hours of full use, the software was up to date, i like the webcam resolution (8mp) and the sound is okay, not the best not the worst, the price was good, i'm in love with this product.",software,67,75,positive
"The battery life is great, can last up to 8 hours of full use, the software was up to date, i like the webcam resolution (8mp) and the sound is okay, not the best not the worst, the price was good, i'm in love with this product.",webcam resolution,103,120,positive
"The battery life is great, can last up to 8 hours of full use, the software was up to date, i like the webcam resolution (8mp) and the sound is okay, not the best not the worst, the price was good, i'm in love with this product.",price,182,187,positive
"The battery life is great, can last up to 8 hours of full use, the software was up to date, i like the webcam resolution (8mp) and the sound is okay, not the best not the worst, the price was good, i'm in love with this product.",battery life,4,16,positive
"The beach was a bit far from the hotel, we had to walk quite a bit to get there.",beach,4,9,negative
The beds looked like they hadn't been changed since the last guest.,beds,4,8,negative
"The best application to listen to music in streamig: 30 million songs, many remixes, family plan and improving a lot in its podcast section.",podcast section,124,139,positive
"The best application to listen to music in streamig: 30 million songs, many remixes, family plan and improving a lot in its podcast section.",application to listen to music,9,39,positive
The best food I have ever enjoyed in a restaurant.,food,9,13,positive
The best food I have ever had.,food,9,13,positive
"The best insurance service has it all: houses, life, cars.",insurance service,9,26,positive
"The best service in the world, the best customer service, the food is delicious, I recommend it.",service,9,16,positive
"The best service in the world, the best customer service, the food is delicious, I recommend it.",customer service,40,56,positive
"The best service in the world, the best customer service, the food is delicious, I recommend it.",the food,58,66,positive
"The bread from the sub was cold, I hated it",bread,4,9,negative
The camera does not comply with what is offered in the technical characteristics.,camera,4,10,negative
The camera size is small and the color is nice.,camera size,4,15,negative
The camera size is small and the color is nice.,color,33,38,positive
"The car wash is going great, I've never had a complaint, always the best of care, keep up the good work.",care,76,80,positive
"The car wash is going great, I've never had a complaint, always the best of care, keep up the good work.",car wash,4,12,positive
"The car wash is going great, I've never had a complaint, always the best of care, keep up the good work.",work,99,103,positive
The case is beautiful and designed the way that allows the air flow into the internal parts.,case,4,8,positive
The case is beautiful and designed the way that allows the air flow into the internal parts.,designed,26,34,positive
The case is very good looking and has a  remote control to adjust the fan lights.,case,4,8,positive
The case provides amazing airflow to the internal components and has a dust filter.,airflow,26,33,positive
The case provides amazing airflow to the internal components and has a dust filter.,case,4,8,positive
The charger is powerful and all my house members use it and it fill up our batteries to 100% in less than 45 minutes.,charger,4,11,positive
"The chicken was very rich and the the theme too, would definitely come back again",theme,38,43,positive
"The chicken was very rich and the the theme too, would definitely come back again",chicken,4,11,positive
The couch is comfortable but the cloth is not of good quality.,cloth,33,38,negative
The decor was out of date.,decor,4,9,negative
"The dentist is a professional, he did his job perfectly, he cured the pain I had in my tooth.",dentist,4,11,positive
"The dentist is a professional, he did his job perfectly, he cured the pain I had in my tooth.",job,42,45,positive
The dentists cleaned my teeth with ultrasound tool and my teeth are far better now.,teeth,58,63,positive
The dentists cleaned my teeth with ultrasound tool and my teeth are far better now.,dentists,4,12,positive
The dinner was amazing.,dinner,4,10,positive
The doctor was very nice and prescribed the perfect medicine for me.,medicine,52,60,positive
The doctor was very nice and prescribed the perfect medicine for me.,doctor,4,10,positive
The experience was wonderful.,experience,4,14,positive
"The fish are fresh and well cooked, but I didn't like the meat.",cooked,28,34,positive
"The fish are fresh and well cooked, but I didn't like the meat.",meat,58,62,negative
"The fish are fresh and well cooked, but I didn't like the meat.",fish,4,8,positive
The fish was raw in the hotel,fish,4,8,negative
The fish was raw in the hotel,hotel,24,29,negative
The food and all the dishes in general disappointed me.,The food and all the dishes,0,27,negative
"The food and rooms of the hotel are very good, I would definitely go again.",hotel,26,31,positive
"The food and rooms of the hotel are very good, I would definitely go again.",rooms,13,18,positive
"The food and rooms of the hotel are very good, I would definitely go again.",food,4,8,positive
The food is delicious.,food,4,8,positive
The food was acceptable.,food,4,8,positive
The food was amazing the wopper burguers was delicius i like a lot his food,food,71,75,positive
The food was amazing the wopper burguers was delicius i like a lot his food,wopper burguers,25,40,positive
The food was amazing the wopper burguers was delicius i like a lot his food,The food,0,8,positive
"The food was amazing, even the drink are pretty refresh to me, not to strong",drink,31,36,positive
"The food was amazing, even the drink are pretty refresh to me, not to strong",food,4,8,positive
"The food was delicious, the waiters were very attentive to our needs.",food,4,8,positive
"The food was delicious, the waiters were very attentive to our needs.",waiters,28,35,positive
The food was great and the service was even better.,food,4,8,positive
The food was great and the service was even better.,service,27,34,positive
"The food was incredible, very nice food and good prices.",food,35,39,positive
"The food was incredible, very nice food and good prices.",food,4,8,positive
"The food was incredible, very nice food and good prices.",prices,49,55,positive
The food was quality and the attention of the staff was unique,attention of the staff,29,51,positive
The food was quality and the attention of the staff was unique,food,4,8,positive
The food was served cold and the dessert was very bad,food,4,8,negative
The food was served cold and the dessert was very bad,dessert,33,40,negative
The food was tasty and filling.,food,4,8,positive
The food was very good.,food,4,8,positive
"The food was very very good, I would definitely come back",food,4,8,positive
The graphics aren't as powerful as in PS5 but it's good value for money,it,46,48,positive
The graphics aren't as powerful as in PS5 but it's good value for money,value for money,56,71,positive
The graphics were very good.,graphics,4,12,positive
"The hospital facilities are very beautiful, excellent equipment with very good technology, and very nice staff.",equipment,54,63,positive
"The hospital facilities are very beautiful, excellent equipment with very good technology, and very nice staff.",hospital facilities,4,23,positive
"The hospital facilities are very beautiful, excellent equipment with very good technology, and very nice staff.",staff,105,110,positive
"The hospital facilities are very beautiful, excellent equipment with very good technology, and very nice staff.",technology,79,89,positive
The hospital has many departments and it's clean.,hospital,4,12,positive
The hospital was very unclean and the doctors were not obligated by health procedures .,doctors,38,45,negative
The hospital was very unclean and the doctors were not obligated by health procedures .,hospital,4,12,negative
"The hotel is in a very good location with a good view and good recreational areas, great food",The hotel,0,9,positive
"The hotel is in a very good location with a good view and good recreational areas, great food",food,89,93,positive
"The hotel is in a very good location with a good view and good recreational areas, great food",location,28,36,positive
"The hotel is in a very good location with a good view and good recreational areas, great food",recreational areas,63,81,positive
"The hotel is in a very good location with a good view and good recreational areas, great food",view,49,53,positive
The hotel staff tried to help me and made an exception to accommodate my pet.,hotel staff,4,15,positive
The hotel staff were friendly and they gave me a room with sea view although I booked a standard one.,hotel staff,4,15,positive
The hotel was beautiful and beautifully decorated.,hotel,4,9,positive
The hotel was beautiful and beautifully decorated.,decorated,40,49,positive
"The hotel was beautiful and big it has a very large pool and ocean view, the staff was very helpful",staff,77,82,positive
"The hotel was beautiful and big it has a very large pool and ocean view, the staff was very helpful",pool,52,56,positive
"The hotel was beautiful and big it has a very large pool and ocean view, the staff was very helpful",view,67,71,positive
"The hotel was beautiful and big it has a very large pool and ocean view, the staff was very helpful",hotel,4,9,positive
The image quality is amazing and an excellent sound system.,image quality,4,17,positive
The image quality is amazing and an excellent sound system.,sound system,46,58,positive
"The information for people without much experience in the network regarding the stock market is almost always misleading, although it is worth noting that a couple of people provide quality knowledge",knowledge,190,199,positive
"The information for people without much experience in the network regarding the stock market is almost always misleading, although it is worth noting that a couple of people provide quality knowledge",a couple of people,155,173,positive
The innkeeper was outstanding and the recommendations he gave me were very successful.,recommendations he gave,38,61,positive
The innkeeper was outstanding and the recommendations he gave me were very successful.,innkeeper,4,13,positive
The innkeeper was very attentive and willing to give us the best recommendations.,innkeeper,4,13,positive
The innkeeper was very attentive and willing to give us the best recommendations.,recommendations,65,80,positive
The insurance has met all my expectations and the customer service is very helpful,customer service,50,66,positive
The insurance has met all my expectations and the customer service is very helpful,insurance,4,13,positive
The interior of the rooms was very beautiful.,interior of the rooms,4,25,positive
"The internet connection is very bad, every time it disconnects more, terrible service, I do not recommend it",service,78,85,negative
"The internet connection is very bad, every time it disconnects more, terrible service, I do not recommend it",internet connection,4,23,negative
"The internet speed is very bad, the support staff is very rude.",internet speed,4,18,negative
"The internet speed is very bad, the support staff is very rude.",support staff,36,49,negative
The investor was very pushy and did not clarify my doubts in the right way.,investor,4,12,negative
The keyboard looks great.,The keyboard,0,12,positive
"The laptop has a large screen, although it's not so big and can be easily carried in one hand.",screen,23,29,positive
"The laptop has a large screen, although it's not so big and can be easily carried in one hand.",laptop,4,10,positive
"The last time we went, the food was way too spicy,  the corn on the cob had way too much butter, the fries were overly salty.",corn on the cob,56,71,negative
"The last time we went, the food was way too spicy,  the corn on the cob had way too much butter, the fries were overly salty.",food,27,31,negative
"The last time we went, the food was way too spicy,  the corn on the cob had way too much butter, the fries were overly salty.",fries,101,106,negative
The lawyers services its a magnificent thing but I dont really agree with the prices of the service.,prices of the service,78,99,negative
"The library is very run down, has many leaks, and does not have air conditioning",air conditioning,64,80,negative
"The library is very run down, has many leaks, and does not have air conditioning",leaks,39,44,negative
"The library is very run down, has many leaks, and does not have air conditioning",library,4,11,negative
"The market has a wide variety of products with an affordable price, and good service.",variety of products,22,41,positive
"The market has a wide variety of products with an affordable price, and good service.",price,61,66,positive
"The market has a wide variety of products with an affordable price, and good service.",market,4,10,positive
"The market has a wide variety of products with an affordable price, and good service.",service,77,84,positive
The material is comfortable because it's made of cotton.,cotton,49,55,positive
The material is comfortable because it's made of cotton.,The material,0,12,positive
The meat was very good but I ordered brownie for dessert and it was a little dry,brownie,37,44,negative
The meat was very good but I ordered brownie for dessert and it was a little dry,meat,4,8,positive
"The medical service was very good, the staff is very professional",medical service,4,19,positive
"The medical service was very good, the staff is very professional",staff,39,44,positive
The mobile has clear sound when it's ringing and I really loved it.,sound,21,26,positive
The mobile has clear sound when it's ringing and I really loved it.,mobile,4,10,positive
The monitor is a great value for money.,value,23,28,positive
The monitor is a great value for money.,monitor,4,11,positive
The most reliable and well priced grocery service I have used in the past few months.,priced,27,33,positive
The most reliable and well priced grocery service I have used in the past few months.,grocery service,34,49,positive
The mouse is great and has many DPI options.,mouse,4,9,positive
The navigation was very fast.,navigation,4,14,positive
"The noise cancellation works really well, i like to  use them when jogging, the quality sound is not the best but gets the job done, the price was okay, i would recommend it for those with low budget.",noise cancellation,4,22,positive
"The noise cancellation works really well, i like to  use them when jogging, the quality sound is not the best but gets the job done, the price was okay, i would recommend it for those with low budget.",price,137,142,positive
The nurses and doctors treat patients gently.,nurses and doctors,4,22,positive
The only bad thing that it hasn't RGB.,it,24,26,negative
The only bad thing that it hasn't RGB.,RGB,34,37,negative
The only contradictory thing about this is the degree of pollution they generate to the environment by the carbon dioxide emanating from their engines,engines,143,150,negative
The parking lot was far from our room and the bathroom in the room did not work well.,parking lot,4,15,negative
The parking lot was far from our room and the bathroom in the room did not work well.,bathroom,46,54,negative
The phone is a good value for money.,money,30,35,positive
The phone is a good value for money.,The phone,0,9,positive
The phone is a good value for money.,value,20,25,positive
"The phone is perfect, incredible wifi connectivity, memory and battery life, perfect",memory and battery life,52,75,positive
"The phone is perfect, incredible wifi connectivity, memory and battery life, perfect",phone,4,9,positive
"The phone is perfect, incredible wifi connectivity, memory and battery life, perfect",wifi connectivity,33,50,positive
"The phone was presented to reduce distances and save time, this useful tool connects us to any part of the world at any time, thus being an indispensable tool today",phone,4,9,positive
"The phone was presented to reduce distances and save time, this useful tool connects us to any part of the world at any time, thus being an indispensable tool today",tool,71,75,positive
"The phone was presented to reduce distances and save time, this useful tool connects us to any part of the world at any time, thus being an indispensable tool today",tool,154,158,positive
"The phone worked great the first 2 week, then it started glitching out, update after update and the battery life was not as advertised, the only positive side is that it charges really quickly, 1 star.",it charges,167,177,positive
"The phone worked great the first 2 week, then it started glitching out, update after update and the battery life was not as advertised, the only positive side is that it charges really quickly, 1 star.",battery life,100,112,negative
The pizza was cold and the ingredients didn't taste good,pizza,4,9,negative
The pizza was cold and the ingredients didn't taste good,ingredients,27,38,negative
The pizza was cold and the ingredients didn't taste good,taste,46,51,negative
The pizza was good but I asked for one to take away and they forgot it.,they,56,60,negative
"The pizzas are wonderful, they transport you to Naples itself",pizzas,4,10,positive
"The place is big and the staff is well prepared, leave my car in the morning and within a few hours I was ready.",place,4,9,positive
"The place is big and the staff is well prepared, leave my car in the morning and within a few hours I was ready.",staff,25,30,positive
"The place was very dirty, the food was ok but I did not like the service.",The place,0,9,negative
"The place was very dirty, the food was ok but I did not like the service.",the service,61,72,negative
"The place was very nice, but the staff was not very friendly.",place,4,9,positive
"The place was very nice, but the staff was not very friendly.",staff,33,38,negative
The place was well decorated but the people who worked at the hotel do not have good presentation.,place,4,9,positive
The place was well decorated but the people who worked at the hotel do not have good presentation.,people who worked at the hotel,37,67,negative
The place was well decorated but the people who worked at the hotel do not have good presentation.,decorated,19,28,positive
The prices of this airline are very affordable.,prices,4,10,positive
The product is what I expected but it takes a long time to ship,time to ship,51,63,negative
The quality of its camera is low.,quality of its camera,4,25,negative
The quality of its food is excellent.,quality of its food,4,23,positive
"The reception and rooms were very nice, I really liked them",The reception and rooms,0,23,positive
"The restaurant is in a good area, the attention is excellent and its food",area,28,32,positive
"The restaurant is in a good area, the attention is excellent and its food",restaurant,4,14,positive
"The restaurant is in a good area, the attention is excellent and its food",food,69,73,positive
"The restaurant is in a good area, the attention is excellent and its food",attention,38,47,positive
The restaurant provides delicious food and the staff are very friendly.,restaurant,4,14,positive
The restaurant provides delicious food and the staff are very friendly.,food,34,38,positive
The restaurant provides delicious food and the staff are very friendly.,staff,47,52,positive
The room service was excellent.,The room service,0,16,positive
"The room was dirty, there was a leak in the bathroom sink.",bathroom sink,44,57,negative
"The room was dirty, there was a leak in the bathroom sink.",room,4,8,negative
The rooms are small.,rooms,4,9,negative
The rooms are very expensive.,rooms,4,9,negative
