sentence,aspect_terms,polarity
he carefully listen to me and easily solve  my daily problems that  may cause me to be  distracted during your day.,['he'],['positive']
"hindu food here is not of this type, rather it seems japanese, it takes a long time between dishes and it does not have a great variety of beers","['variety of beers', 'time between dishes', 'hindu food']","['negative', 'negative', 'negative']"
i bought cupcakes from the dessert shop and they tasted amazing.,"['tasted', 'cupcakes from the dessert shop']","['positive', 'positive']"
"i bought this mouse for a really cheap price and i thought they would break easily, however that's not the case, they are sturdy and great quality, worth buying!","['price', 'quality', 'mouse']","['positive', 'positive', 'positive']"
"i bought this phone  about  1 year age and  I was so happy at first , but after some months had  passed , the mobile battery  began to weaken .",['mobile battery'],['negative']
i chose to  stay in doors to enjoy the air condition.,['air condition'],['positive']
i enjoy with spa and massage .,['spa and massage'],['positive']
i finally found the right clothing shop for my child .,['clothing shop'],['positive']
i have to admit that  i have a nice time there.,"['time', 'there']","['positive', 'positive']"
"i like the food its really tasty, but the prices its absolulty insane, so much expensive, there is so many places with the same  food but so much better prices","['prices', 'places', 'prices', 'food']","['positive', 'positive', 'negative', 'positive']"
"i really like this bank , is very easy to  open an account in this bank  and thay offered many services like  credit card and  business account, they have many  offices in all the country  and thay have atm as well","['to', 'open an account in this bank', 'bank']","['positive', 'positive', 'positive']"
"i started buying pieces for my computer and went it came to the CPU, i saw this the store, the price was kinda cheap, the materials are okay is not the greatest, the size was medium, overall quality is okay to decent.","['overall quality', 'cheap', 'the price', 'size']","['positive', 'positive', 'positive', 'negative']"
i use it to type about 3000 words a day since one month and it's really good and has adjustable rgb.,"['it', 'rgb']","['positive', 'positive']"
"i used a Discover card and it was received to the country i arrived on vacation, without inconvenience, the only limitation is the amount that was granted to me",['amount that was granted to me'],['negative']
"impressive products to improve work ergonomics, including ergonomics in educational settings and for gamers",['products'],['positive']
in this hotel you can enjoy the massage service .,['massage service'],['positive']
"it has a lot of features ,it's working very good, I used for 7 years till now and I didn't have any problems with it","['working', 'it', 'features', 'it']","['positive', 'positive', 'positive', 'positive']"
it has very good noise cancellation and your voice becomes clear due to the filter.,"['it', 'filter', 'noise cancellation and your voice']","['positive', 'positive', 'positive']"
it is 144hz supports eye protection so it is the best choice for people who set on computer for a long time.,"['choice', '144hz']","['positive', 'positive']"
it was a great  experience .,"['experience', 'it']","['positive', 'positive']"
it was a wonderful experience and i spent a nice time there .,"['time', 'there', 'experience']","['positive', 'positive', 'positive']"
it was very good at its point no strong flavors,"['at its point', 'it']","['positive', 'positive']"
it's a great value for money.,"['it', 'value for money']","['positive', 'positive']"
it's just not so beautifully disigned.,['disigned'],['negative']
it's just somewhat expensive.,['it'],['negative']
"its a very good smartphone, with their 3 cameras it was so good","['smartphone', '3 cameras']","['positive', 'positive']"
"muy buen equipo carcaza super resistente tiene un precio accesible, me gusta su dise̱o atractivo","['precio', 'dise̱o', 'equipo carcaza']","['positive', 'positive', 'positive']"
"my child was sick and I decided to go to hospital , but i was in shock there .",['hospital'],['negative']
my child was suffering from poor nutrition and coughing a lot but doctor was skillful .,"['doctor', 'nutrition']","['positive', 'negative']"
"personally I didn't like it at all, I didn't feel anything, I didn't feel that I got better, and I felt very uncomfortable.",['it'],['negative']
"pretty far of my home, and i thought that it would be better :/","['it', 'of my home']","['negative', 'negative']"
"psychology is something that helped me a lot in my life, it made me feel more optimistic to see the world differently, I really recommend that you go to a psychologist, it is not necessary to feel bad, even if you are well it helps a lot.","['go to a psychologist', 'psychology']","['positive', 'positive']"
reI love going the every weekend with my friends .,['going the every weekend with my friends'],['positive']
she saved me from a unjust life,['she'],['positive']
"staff were extra friendly, pool was clean, and the bed was very comfortable","['staff', 'bed', 'pool']","['positive', 'positive', 'positive']"
"that good internet service, it is very fast and with very affordable prices","['prices', 'internet service']","['positive', 'positive']"
the CPU has 6 cores and 12 threads and I always put it under 100% percentage usage and it performs well but the temperature becomes high in some days.,"['temperature', 'performs']","['negative', 'positive']"
"the Netflix transmission service is very nice, the monthly fee is not expensive, but it does not have a great variety in programming.","['monthly fee', 'great variety in programming', 'Netflix transmission service']","['positive', 'negative', 'positive']"
the Quality of camera is awesome and this phone provide with eye-care feature .,"['phone', 'Quality of camera']","['positive', 'positive']"
"the TV is great, amazing wifi connectivity, it brings many applications, I give it 5 stars","['applications', 'wifi connectivity', 'TV']","['positive', 'positive', 'positive']"
"the baseball game last night was very exciting, from beginning to end, good game they gave us these teams","['baseball game', 'teams', 'game']","['positive', 'positive', 'positive']"
"the bathroom was lacking the basics amenities, there was not soap or toiler paper, i had to call the service to get one, however it was very clean at least, but i don't think is worth the price.","['amenities', 'worth the price', 'it']","['negative', 'negative', 'positive']"
the battery lasts long and is fast.,['the battery'],['positive']
the best caesar salad I have ever eaten.,['caesar salad'],['positive']
"the best command mode tool created for computers, super innovative technology","['command mode tool', 'technology']","['positive', 'positive']"
the camera of this mobile is superb and the space is big enough .,"['camera', 'mobile', 'space']","['positive', 'positive', 'positive']"
the camera quality was poor .,['the camera quality'],['negative']
"the cleaning service arrives very early to the room even when we are there, it only takes care of the beds and the bathroom leaves it the same, also did not change the sheets, it was a bad service",['service'],['negative']
the cleaning service was a good value for money and they did the cleaning well.,"['cleaning service', 'cleaning']","['positive', 'positive']"
the clinic is clean and the doctor is really clever.,"['doctor', 'clinic']","['positive', 'positive']"
"the computer is very versatile but it does not have enough memory, it has problems connecting to wifi, not really what I expected","['connecting to wifi', 'memory']","['negative', 'negative']"
"the cost is low however the performance of the phone is very good for its cost, it has good ram memory although its camera is not very good","['performance of the phone', 'cost', 'ram memory', 'camera']","['positive', 'positive', 'positive', 'negative']"
the employees weren't wearing masks so I don't feel comfortable shopping here and their gloves are worn incorrectly.,"['gloves', 'shopping', 'employees']","['negative', 'negative', 'negative']"
the experience was terrible I almost died of this disease I had to breathe with oxygen since my blood o2 level was very low,"['blood o2 level', 'experience', 'disease']","['negative', 'negative', 'negative']"
"the food is  bad i dont like these tacos , the food is cold and  the service is bad","['food', 'food', 'tacos', 'service']","['negative', 'negative', 'negative', 'negative']"
"the food is very good and its service, good atmosphere","['service', 'food', 'atmosphere']","['positive', 'positive', 'positive']"
"the food is very good and your service, very friendly personam","['your service', 'the food']","['positive', 'positive']"
the food was delicious and variable.,['food'],['positive']
the food was so tasty .,['food'],['positive']
the food was so tasty and the menu is perfect .,"['food', 'menu']","['positive', 'positive']"
the gardeners are the people in charge of beautifying the gardens of our house and maintaining all the necessities regarding the fertiilization of the plants,['gardeners'],['positive']
"the girl answered my calls always and at any time, showing kindness, we decided to remodel the room and she gave very original and excellent ideas, she made renderings to see how the room was going to be, we loved it, something against was the orders she made, as some furniture took time to arrive and that delayed the work","['ideas', 'she', 'she', 'girl', 'orders she made']","['positive', 'positive', 'positive', 'positive', 'negative']"
the graphics of games is superb .,['graphics of games'],['positive']
the hamburger meat had a strange taste I think it was badly seasoned,"['hamburger meat', 'taste', 'seasoned']","['negative', 'negative', 'negative']"
the hospital was not clean,['hospital'],['negative']
"the hotel has a fantastic pool, but its staff does not serve very well","['pool', 'staff']","['positive', 'negative']"
"the hotel is a litle small but is confortable and beatifull the beach is amazing and the service is good, the breakfast is delicius","['beach', 'breakfast', 'service']","['positive', 'positive', 'positive']"
the hotel is not expensive but the place is too far to reach it,['place'],['negative']
the hotel is very cozy it seems to my home and they are very attentive all the staff,"['hotel', 'all the staff']","['positive', 'positive']"
"the hotel its location is wonderful, and its food is 5 stars, I would recommend it","['food', 'hotel', 'location']","['positive', 'positive', 'positive']"
the hotel pool was very dirty it seems that they do little maintenance and that leaves much to be desired,['the hotel pool'],['negative']
the hotel was amazing the view are beautifull is close to the beach and the services is great the pool is big enough,"['pool', 'hotel', 'services', 'view']","['positive', 'positive', 'positive', 'positive']"
the hotels has taken all precaution to make you feel safe .,['hotels'],['positive']
"the images look amazing and you can install a lot of app , easily set up and in many languages","['set up', 'images']","['positive', 'positive']"
"the internet connection is the best, I recommend them because they are the best company","['company', 'internet connection']","['positive', 'positive']"
the key chain looks nice and it can have more than 10 keys in it.,['the key chain'],['positive']
"the keyboard  arrive late, some of the keys did not work all the time and eventually stopped working at all, the price was low but still the product is not good, i would not recommend this to anyone","['product', 'the keyboard', 'some of the keys', 'the price']","['negative', 'negative', 'negative', 'positive']"
the location of  hotel is perfect and the room service is superb .,"['the location of  hotel', 'the room service']","['positive', 'positive']"
the location of shop is great and easy to go to .,['location of shop'],['positive']
the material of clothes is awesome and the prices is cheap .,"['material of clothes', 'prices']","['positive', 'positive']"
the materials of T-shirts is great .,['materials of T-shirts'],['positive']
the menu was so bad and the service there is too low .,"['menu', 'service']","['negative', 'negative']"
the microphone has noise cancellation tool which is adjustable but the wire is very long.,['wire'],['negative']
the mixture of the ingredients create an incredible flavor in addition to the abundance of the cheese make it perfect,"['mixture of the ingredients', 'abundance of the cheese', 'it', 'flavor']","['positive', 'positive', 'positive', 'positive']"
the mouse is very beautiful and makes you relax when holding it.,['mouse'],['positive']
the only bad thing that it needs an adapter.,"['it', 'needs an adapter']","['negative', 'negative']"
the pen looks nice and the font is quite thin.,"['font', 'pen']","['positive', 'positive']"
the phone is excellent very fast but the battery time is very short if you use a lot,"['phone', 'battery time']","['positive', 'negative']"
the phone is great is beautifull and fast and always has  wireless service,['phone'],['positive']
the phone is highly protected and no one can hack it.,['phone'],['positive']
the potatoes were very crispy and not greasy I liked them a lot,['potatoes'],['positive']
"the price are really insane, in summer i cant turn on the air conditioner because the price of this its really insane","['the price of this', 'price']","['negative', 'negative']"
the price of accommodation  are very high .,['price of accommodation'],['negative']
the price of food was expensive .,['price'],['negative']
the prices also is not expensive .,['prices'],['positive']
the prices is too expensive,['prices'],['negative']
the product is great  it have very functions and the precision of the  localization  is amazing,"['product', 'precision of the  localization']","['positive', 'positive']"
the quality of  food was  disgusting  .,['quality of  food'],['negative']
the quality of camera is too low and the battery do not last too long .,"['quality of camera', 'battery']","['negative', 'negative']"
the quality of food is exceptional  and the service there  is superb .,"['service', 'quality of food']","['positive', 'positive']"
"the quality of food is so good , there is a kids area where kids can play , all salads there are for free but the restaurant is costly .","['kids area', 'quality of food', 'restaurant']","['positive', 'positive', 'negative']"
the quality of food is very good  and all salads there are free .,"['salads', 'quality of food']","['positive', 'positive']"
the quality of food was superb .,['quality of food'],['positive']
the quality of material was disappointing and the shirt did not look like the picture .,"['shirt', 'quality of material']","['negative', 'negative']"
the quality of the sweater is bad and it comes apart easily I feel like I lost my money,['quality of the sweater'],['negative']
the restaurant was very cozy but the food was very salty and tasteless,['food'],['negative']
the room service there is so friendly .,['room service'],['positive']
"the room very comfortable ideal for the whole family, my daughter really enjoyed the pool","['pool', 'room']","['positive', 'positive']"
"the rooms were a bit dirty, with no hot water and unpleasant odors in the bathroom.","['the rooms', 'bathroom', 'odors', 'hot water']","['negative', 'negative', 'negative', 'negative']"
the router has many options and allows you to overclock the basic speed and allows you to set data limit.,['router'],['positive']
the salads  are fresh but burger is very bad .,"['the salads', 'burger']","['positive', 'negative']"
"the school is perfect good facilities, good teachers and the location is good","['good', 'facilities', 'school', 'location', 'teachers']","['positive', 'positive', 'positive', 'positive', 'positive']"
the selection of drinks was incredible and the pizza was delicious.,"['pizza', 'the selection of drinks']","['positive', 'positive']"
the service is pretty  good and the taste of food is superb .,"['the service', 'taste of food']","['positive', 'positive']"
the service is so good and the menu is perfect .,"['service', 'menu']","['positive', 'positive']"
the service was of excellent quality and I had attention 24 hours a day I am very satisfied,['service'],['positive']
the service was so good and the crew was so friendly .,"['crew', 'service']","['positive', 'positive']"
the size of the shirt was too large .,['size of the shirt'],['negative']
the staff of shop was so friendly and they helped me choose  the right mobile for me .,"['mobile', 'staff of shop']","['positive', 'positive']"
"the store was fascinating, very clean and smelled quite nice, as well as the staff who explained the advantages and specifications of the product i wanted, helped me with my payment and even gift wrapped it","['staff', 'product', 'smelled', 'store']","['positive', 'positive', 'positive', 'positive']"
the taste of sandwiches was so bad and i had to  throw them in the trash .,['taste of sandwiches'],['negative']
the taste was very bad and the staff is unfriendly .,"['taste', 'staff']","['negative', 'negative']"
the treatment of staff is awesome .,['treatment of staff'],['positive']
"the waitress was very courteous, food was great, and the manager came at the end of the meal and asked how everything was.","['food', 'manager', 'waitress']","['positive', 'positive', 'positive']"
there is different kinds of tea that I loved  like strawberry tea .,"['tea', 'strawberry tea']","['positive', 'positive']"
they are excellent and have noise cancellation in the built-in microphone.,"['microphone', 'they']","['positive', 'positive']"
"they are quite good to share with the family, but I always come with my knees hit",['they'],['positive']
they are very spacious and trap dirt properly and can even retain moisture without overflowing,"['they', 'retain moisture without overflowing', 'trap dirt']","['positive', 'positive', 'positive']"
they aren't compatible with a lot of android phones.,"['android phones', 'they', 'compatible']","['negative', 'negative', 'negative']"
"they had many discounts on mobiles , which made the price of mobile reasonable .",['price of mobile'],['positive']
they provide new dishes of their invention and they are very good.,['new dishes'],['positive']
they should improve that.,['that'],['negative']
they suggest many special games to me .,['games'],['positive']
this  hotel was  great the location is great very close to the beach,"['hotel', 'location']","['positive', 'positive']"
"very clean site and confortable rooms, have nice prices and the service room is absolutly great.","['rooms', 'site', 'service room', 'prices']","['positive', 'positive', 'positive', 'positive']"
very comfortable and not heavy despite having a steel tip,['steel tip'],['negative']
"very good phone, it sticks a little bit and has some errors but for the price it is very very good, I recommend it if you are without money.",['price'],['positive']
"very good place to rest

spacious comfortable room with good view","['view', 'room', 'place']","['positive', 'positive', 'positive']"
very good presentation very exact and has special functions that I like,"['exact', 'presentation', 'special functions']","['positive', 'positive', 'positive']"
"very good service, the workers very kind and respectful, and very responsible.","['workers', 'service']","['positive', 'positive']"
we ate cold food and there is not air condition in the restaurant .,"['food', 'air condition', 'restaurant']","['negative', 'negative', 'negative']"
"we stayed 5 days at the hotel, the wonderful food and your attention","['food', 'attention']","['positive', 'positive']"
"what a bad internet service, it drops every 30 seconds and the speed is bad","['internet service', 'speed']","['negative', 'negative']"
with it I improved my work in appen and I love it!,"['appen', 'it', 'it']","['positive', 'positive', 'positive']"
works perfectly and has a variety of games is a good buy,"['buy', 'works']","['positive', 'positive']"
you can enjoy  with spa and massage .,['spa and massage'],['positive']
you can have a good time with you family there .,['there'],['positive']
you can talk with your  friends  and have a nice time .,['time'],['positive']
It was nothing we expected.,"['time', 'Target Not Found']","['positive', 'Not Available']"
Recently i went to Mcdonalds.,"['time', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available']"
I went to the butcher's and bough a kg of cow liver.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available']"
The service at the table was very bad.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
Stars: 4,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
i felt pain in my stomach and i visited the doctorand he discovered it was a germ so he prescribed a specific medicine to kill this germ.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
I have read this book.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
Better than some of it's competitors in this regard.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
I loved.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
you can invite your friend to play with him online .,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
Stars: 4.7,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
there are nigh parties too .,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
I think it is very low.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
"On the advice of my friend, I bought this comedy book.","['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
Huge breadth of content though that makes up for some missteps.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
Stars: 5,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
Today i got a takeout from a new Indian takeaway that opened near where i live.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
"Yesterday, me and my girlfriend came about 6 differents restaurant, and anyone have a reservation, ok, I understand  that its a limitated chairs and all this stuff, but you can public in your app or in yelp, in a day like valentines day, that you have tables AVAILABLES.","['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
Spectacular,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
The decoration was very vintage.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
It looked stylish and sleek.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
the car comes with different internal designs.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
Stars: 2,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
The service was very good.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
Went to a restaurant been going to for many years.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
I was given a good brand phone.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
He linked my symptoms to a sort of disease immediately.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
