text,aspect,opinion,sentiment
Good eats .,['eats'],['Good'],['POS']
"I have been to this place , folks and it is BAD .",['place'],['BAD'],['NEG']
Maybe it is good for that one night once in a blue moon when the chefs decide to use fish that 's half-way decent .,['fish'],['decent'],['NEG']
"I have been here , spent tons of money on a chef special dinner and it was a major dissappointment .",['chef special dinner'],['dissappointment'],['NEG']
– The atmosphere is great for any special occasion you might want to celebrate .,['atmosphere'],['great'],['POS']
The best dish are the honwy walnut prawns -- just outstanding .,"['honwy walnut prawns', 'honwy walnut prawns']","['best', 'outstanding']","['POS', 'POS']"
The service is really attentive and charming .,"['service', 'service']","['attentive', 'charming']","['POS', 'POS']"
"The service was excellent , the coffee was good even by starbucks standards and the food was outstanding .","['service', 'coffee', 'food']","['excellent', 'good', 'outstanding']","['POS', 'POS', 'POS']"
– I recently had the pleasure of dining as this delightful restaurant on 2nd street and wow what a great evening we had .,['restaurant'],['delightful'],['POS']
"The food is fantastic , authentic , delicious and very , very affordable .","['food', 'food', 'food', 'food']","['fantastic', 'authentic', 'delicious', 'affordable']","['POS', 'POS', 'POS', 'POS']"
The decor was beautiful and unique .,"['decor', 'decor']","['beautiful', 'unique']","['POS', 'POS']"
"There was a really nice vibe about the place ... good music , atmosphere and happy looking people .","['music', 'atmosphere', 'vibe', 'people']","['good', 'good', 'nice', 'happy']","['POS', 'POS', 'POS', 'POS']"
Our server was very professional and friendly .,"['server', 'server']","['professional', 'friendly']","['POS', 'POS']"
It 's a tiny place so if you get there before 8pm on a weekend ( Thurs ? Sun ) you will find it easier to get a table or a seat at the sushi bar .,['place'],['tiny'],['NEU']
"Everything , and I mean everything on the menu is delectable .",['menu'],['delectable'],['POS']
The waiters are very experienced and helpful with pairing your drink choice to your food tastes or vice versa .,"['waiters', 'waiters']","['experienced', 'helpful']","['POS', 'POS']"
"The sushi is as fresh as it comes ? you 'd think ocean was in their backyard , no joke !",['sushi'],['fresh'],['POS']
"If you 're interested in good tasting ( without the fish taste or smell ) , large portions and creative sushi dishes this is your place ...","['portions', 'sushi dishes']","['large', 'creative']","['POS', 'POS']"
big thick pepperoni,['pepperoni'],['big thick'],['POS']
– The pepperoni 's cut real thick -- Yum .,"[""pepperoni 's"", ""pepperoni 's""]","['thick', 'Yum']","['POS', 'POS']"
"The pizza itself is not exactly the best I 've had EVER , but still pretty good .","['pizza', 'pizza']","['not exactly the best', 'good']","['POS', 'POS']"
Food was good and appetizing .,"['Food', 'Food']","['good', 'appetizing']","['POS', 'POS']"
"Portions was just enough for me , but may not be for a big eater .",['Portions'],['enough'],['NEU']
Fair menu selection .,['menu selection'],['Fair'],['NEU']
"The appetizer was interesting , but the Creme Brulee was very savory and delicious .","['appetizer', 'Creme Brulee', 'Creme Brulee']","['interesting', 'savory', 'delicious']","['POS', 'POS', 'POS']"
Indoor ambience was modern .,['Indoor ambience'],['modern'],['POS']
It 's a great place to people watch .,['place'],['great'],['POS']
Late night dinning with exeptional food .,['food'],['exeptional'],['POS']
"We were seated right away , the table was private and nice .","['table', 'table']","['private', 'nice']","['POS', 'POS']"
The service was exceptional - sometime there was a feeling that we were served by the army of friendly waiters .,"['service', 'waiters']","['exceptional', 'friendly']","['POS', 'POS']"
"The food was very good , filet mignon was probably the best I 've ever try .","['food', 'filet mignon']","['good', 'best']","['POS', 'POS']"
"The portions are big though , so do not order too much .",['portions'],['big'],['NEU']
Groovy music made the dinner casual .,['music'],['casual'],['POS']
I have a but here - there was a bathroom attendant in the restroom which was odd .,['restroom'],['odd'],['NEG']
"The bathroom itself is very small with two toilets and only one sink , the girl was staying totally on the way hanging out paper towels from the dispenser .",['bathroom'],['small'],['NEG']
"– Mercedes restaurant is so tasty , the service is undeniably awesome !",['service'],['awesome'],['POS']
"The atmosphere is aspiring , and the decor is festive and amazing ...","['atmosphere', 'decor', 'decor']","['aspiring', 'festive', 'amazing']","['POS', 'POS', 'POS']"
"The catering is out of this world , and Raouls chicken vegetable soup rocks my world ! ! !","['Raouls chicken vegetable soup', 'catering']","['rocks my world', 'out of this world']","['POS', 'POS']"
"Drinks are suberb , and I feel like I am in a Third World country when I walk in the door .",['Drinks'],['suberb'],['POS']
- Mediocre Service / Quality,['Service'],['Mediocre'],['NEU']
The presentation of Snooze is excellent and it is one of those places that you feel more sophisticated just for being there ; but peel back the layers and you have an overpriced IHOP with a high brow menu .,"['Snooze', 'menu']","['excellent', 'high brow']","['NEG', 'NEG']"
"They serve it in a tall , skinny hour-glass shaped glass to disguise the fact that you a getting a small juice at the price of a half gallon in a supermarket .",['juice'],['small'],['NEG']
I should have just asked for the check when I saw that ; but their menu was so unique that I continued .,['menu'],['unique'],['POS']
The pancakes were certainly inventive but $ 8.50 for 3 - 6 '' pancakes ( one of them was more like 5 '' ) in the pancake flight ( sample of 3 different pancakes ) is well over-priced .,"['pancakes', 'pancakes']","['inventive', 'over-priced']","['NEG', 'NEG']"
The pancakes should be larger ( at least 8 '' ) to justify the expense even with the unique offerings .,['pancakes'],['should be larger'],['NEG']
"In the end our check came to $ 27 for 4 small pancakes , a breakfast burrito , an orange juice and an iced tea ( I had water ) .",['pancakes'],['small'],['NEG']
Much more than just a great view !,['view'],['great'],['POS']
– I am exceedingly pleased to report that my dinner at Ray 's Boathouse last Friday completely exceeded my expectations .,"[""Ray 's Boathouse""]",['exceeded my expectations'],['POS']
"Ray 's is something of a Seattle institution , but given its gorgeous Sound views , I had suspected that the accolades were more due to the scenery than to the food and service .",['Sound views'],['gorgeous'],['POS']
Imagine my happy surprise upon finding that the views are only the third-best thing about Ray 's !,"[""Ray 's""]",['happy surprise'],['POS']
"To start things off , our lovely server Brooke was quickly on hand to take my drink order .","['Brooke', 'Brooke']","['lovely', 'quickly']","['POS', 'POS']"
"My party of two was feeling particularly ambitious , and we splurged on the Shilshole Sampler ... a beautiful assortment of enormous white gulf prawns , smoked albacore tuna , Ray 's fantastic manila clams seasoned with dill , scallops in a tasty soy dressing , and a tiny pile of Dungeness crab atop a sublime butter sauce .","['white gulf prawns', 'manila clams', 'soy dressing', 'butter sauce']","['enormous', 'fantastic', 'tasty', 'sublime']","['POS', 'POS', 'POS', 'POS']"
"For my entr & eacute ; e , I completely enjoyed the seared Alaskan sea scallops complemented by chard , artichoke hearts , fennel , and pecorino toscano .",['seared Alaskan sea scallops'],['enjoyed'],['POS']
The scallops are apparently cooked in a black olive butter which really makes them unique ( not to mention tasty ) .,"['scallops', 'scallops']","['unique', 'tasty']","['POS', 'POS']"
My friend enjoyed the grilled Alaskan King Salmon with delectable creamed Washington russet potatoes and crisp green beans .,"['grilled Alaskan King Salmon', 'creamed Washington russet potatoes', 'green beans']","['enjoyed', 'delectable', 'crisp']","['POS', 'POS', 'POS']"
"I had a taste of all three items on her plate , and they were superb .",['plate'],['superb'],['POS']
"Our server continued to be attentive throughout the night , but I did remain puzzled by one issue : Who thinks that Ray 's is an appropriate place to take young children for dinner ?","['server', ""Ray 's""]","['attentive', 'appropriate']","['POS', 'NEU']"
"While I could have done without the youth who shared the evening with us , our wonderful server and food made the experience a very positive one .","['server', 'food']","['wonderful', 'wonderful']","['POS', 'POS']"
"Oh yeah ... the view was good , too .",['view'],['good'],['POS']
